"Stadtteil","Jahr","Wohnberechtigte","Hauptwohnung (%)","Nebenwohnung (%)"
"Innenstadt-Ost","2007",6750,83.8,16.2
"Innenstadt-Ost","2008",6931,85.0,15.0
"Innenstadt-Ost","2009",6896,85.8,14.2
"Innenstadt-Ost","2010",6802,88.0,12.0
"Innenstadt-Ost","2011",6887,89.3,10.7
"Innenstadt-Ost","2012",6997,90.2,9.8
"Innenstadt-Ost","2013",7143,90.7,9.3
"Innenstadt-Ost","2014",7203,91.6,8.4
"Innenstadt-Ost","2015",7254,91.8,8.2
"Innenstadt-Ost","2016",6967,96.5,3.5
"Innenstadt-Ost","2017",6862,98.1,1.9
"Innenstadt-Ost","2018",6832,98.4192037471,1.58079625293
"Innenstadt-West","2007",10437,82.9,17.1
"Innenstadt-West","2008",10411,84.2,15.8
"Innenstadt-West","2009",10484,85.6,14.4
"Innenstadt-West","2010",10393,87.7,12.3
"Innenstadt-West","2011",10513,88.6,11.4
"Innenstadt-West","2012",10724,89.3,10.7
"Innenstadt-West","2013",10999,89.5,10.5
"Innenstadt-West","2014",11041,90.0,10.0
"Innenstadt-West","2015",11141,90.2,9.8
"Innenstadt-West","2016",10747,95.7,4.3
"Innenstadt-West","2017",10585,97.6,2.4
"Innenstadt-West","2018",10597,97.6502783807,2.34972161933
"Südstadt","2007",16625,90.4,9.6
"Südstadt","2008",16926,90.8,9.2
"Südstadt","2009",17255,91.3,8.7
"Südstadt","2010",17769,92.9,7.1
"Südstadt","2011",18113,93.3,6.7
"Südstadt","2012",18957,93.3,6.7
"Südstadt","2013",19595,93.6,6.4
"Südstadt","2014",20151,93.6,6.4
"Südstadt","2015",20559,93.9,6.1
"Südstadt","2016",20640,97.5,2.5
"Südstadt","2017",20699,98.5,1.5
"Südstadt","2018",20848,98.5993860322,1.40061396777
"Südweststadt","2007",20523,90.5,9.5
"Südweststadt","2008",20671,91.0,9.0
"Südweststadt","2009",20744,91.2,8.8
"Südweststadt","2010",20826,92.8,7.2
"Südweststadt","2011",20914,93.0,7.0
"Südweststadt","2012",21023,93.0,7.0
"Südweststadt","2013",21237,93.4,6.6
"Südweststadt","2014",21548,93.6,6.4
"Südweststadt","2015",21714,93.8,6.2
"Südweststadt","2016",21283,97.3,2.7
"Südweststadt","2017",21176,98.4,1.6
"Südweststadt","2018",21315,98.3767300023,1.62326999765
